Timestamp;Temperature;Humidity;Alcohol
1,5;23,90;49,5;63
2,5;23,90;49,5;61
3,5;23,90;49,0;62
4,5;23,90;49,0;62
6,0;23,90;49,2;63
7,0;23,90;49,2;61
8,0;23,90;49,0;59
9,0;23,90;49,0;62
10,0;23,90;48,9;61
11,0;23,90;48,9;60
12,0;23,90;48,4;62
13,0;23,90;48,4;63
14,0;23,90;48,6;70
15,0;23,90;48,6;68
16,0;24,00;48,9;63
17,0;24,00;48,9;63
18,0;23,90;48,8;62
19,5;23,90;48,8;62
20,5;24,00;48,7;62
21,5;24,00;48,7;62
22,5;24,00;48,6;70
23,5;24,00;48,6;66
24,5;24,00;50,1;71
25,5;24,00;50,1;68
26,5;24,00;52,4;67
27,5;24,00;52,4;67
28,5;24,00;53,8;63
29,5;24,00;53,8;67
30,5;24,00;54,3;66
31,5;24,00;54,3;66
33,0;24,00;54,2;63
34,0;24,00;54,2;68
35,0;24,00;54,0;59
36,0;24,00;54,0;75
37,0;24,00;53,6;65
38,0;24,00;53,6;65
39,0;24,00;53,2;64
40,0;24,00;53,2;68
41,0;24,00;52,7;70
42,0;24,00;52,7;63
43,0;24,00;52,3;64
